country,raw_text,processed_text,word_count,unique_words,lexical_diversity,sentiment_score
ao,"1. O Fatherland, we shall never forget
The heroes of the Fourth of February.
O Fatherland, we salute your sons
Who died for our Independence.
We honour the past and our history
As by our work we build the New Man.
We honour the past and our history
As by our work we build the New Man.

CHORUS:
Forward, Angola!
Revolution through the power of the People!
A United Country, Freedom,
One People, one Nation!
Forward, Angola!
Revolution through the power of the People!
A United Country, Freedom,
One People, one Nation!

2. Let us raise our liberated voices
To the glory of the peoples of Africa.
We shall march, Angolan fighters,
In solidarity with oppressed peoples.
We shall fight proudly for Peace
Along with the progressive forces of the world.
We shall fight proudly for Peace
Along with the progressive forces of the world.

Chorus",1 fatherland shall never forget hero fourth february fatherland salute son die independence honour past history work build new man honour past history work build new man chorus forward angola revolution power people united country freedom one people one nation forward angola revolution power people united country freedom one people one nation 2 let we raise liberated voice glory people africa shall march angolan fighter solidarity oppress people shall fight proudly peace along progressive force world shall fight proudly peace along progressive force world chorus,85,50,0.5882352941176471,0.023529411764705882
fm,"1. ‘Tis here we are pledging,
with heart and with hand,
Full measure of devotion
to thee, our native land,
Full measure of devotion
to thee, our native land.

2. Now all join the chorus,
let union abide.
Across all Micronesia
join hands on every side,
Across all Micronesia
join hands on every side.

3. We all work together,
with hearts, voice and hand,
Till we have made these islands
another promised land,
Till we have made these islands
another promised land.",1 tis pledge heart hand full measure devotion thee native land full measure devotion thee native land 2 join chorus let union abide across micronesia join hand every side across micronesia join hand every side 3 work together heart voice hand till make island another promise land till make island another promise land,53,30,0.5660377358490566,0.0
ga,"CHORUS:
United in concord and brotherhood,
Awake, Gabon, dawn is at hand.
Stir up the spirit that thrills and inspires us!
At last we rise up to attain happiness.
At last we rise up to attain happiness.

1. Dazzling and proud, the sublime day dawns,
Dispelling for ever injustice and shame.
May it still advance and calm our fears,
May it promote virtue and banish warfare.

Chorus

2. Yes, may the happy days of which our ancestors dreamed
Come for us at last, rejoicing our hearts,
And banish the sorcerers, those perfidious deceivers
Who sowed poison and spread fear.

Chorus

3. So that, in the eyes of the world and of friendly nations,
The immortal Gabon may maintain her good repute,
Let us forget our quarrels, let us build together
The new structure of which we all have dreamed.

Chorus

4. From the shores of the Ocean to the heart of the forest,
Let us remain vigilant, without weakness and without hatred!
Around this flag which leads us to honour,
Let us salute the Fatherland and ever sing!

Chorus",chorus unite concord brotherhood awake gabon dawn hand stir spirit thrill inspire we last rise attain happiness last rise attain happiness 1 dazzling proud sublime day dawn dispel ever injustice shame may still advance calm fear may promote virtue banish warfare chorus 2 yes may happy day ancestor dream come we last rejoice heart banish sorcerer perfidious deceiver sow poison spread fear chorus 3 eye world friendly nation immortal gabon may maintain good repute let we forget quarrel let we build together new structure dream chorus 4 shore ocean heart forest let we remain vigilant without weakness without hatred around flag lead we honour let we salute fatherland ever sing chorus,111,81,0.7297297297297297,0.0
ir,"Upwards on the horizon rises the Eastern Sun,
The light in the eyes of those who believe in the right.
Bahman – the brilliance of our Faith.
Your message, O Imam, of independence and freedom
is imprinted on our souls.
O Martyrs! Your cries echo in the ears of history.
Enduring, continuing, eternal,
The Islamic Republic of Iran.",upwards horizon rise eastern sun light eye believe right bahman brilliance faith message imam independence freedom imprint soul martyr cry echo ear history endure continue eternal islamic republic iran,29,29,1.0,0.034482758620689655
kr,"1. Until that day when the waters of the Eastern Sea run dry and Mt. Baekdu is worn away,
God protect and preserve our nation.

CHORUS:
Three thousand Li of splendid rivers and mountains, filled with Roses of Sharon;
Great Korean people, stay true to the Great Korean way!

2. As the pine atop Mt. Namsan stands firm, as if wrapped in armour,
unchanged through wind and frost, so shall our resilient spirit.

Chorus

3. The Autumn sky is void and vast, high and cloudless;
the bright moon is our heart, undivided and true.

Chorus

4. With this spirit and this mind, give all loyalty,
in suffering or in joy, to the love of country.

Chorus",1 day water eastern sea run dry mt baekdu wear away god protect preserve nation chorus three thousand li splendid river mountain fill rose sharon great korean people stay true great korean way 2 pine atop mt namsan stand firm wrap armour unchanged wind frost shall resilient spirit chorus 3 autumn sky void vast high cloudless bright moon heart undivided true chorus 4 spirit mind give loyalty suffering joy love country chorus,72,64,0.8888888888888888,0.09722222222222222
bg,"Proud Balkan mountains,
next to them the Danube flows,
the sun sheds its light over Thrace,
shining over Pirin.

CHORUS:
Dear native land,
you are paradise on earth,
your beauty and your charm,
ah, they never end.

Dear native land,
you are paradise on earth,
your beauty and your charm,
ah, they never end.",proud balkan mountain next danube flow sun shed light thrace shine pirin chorus dear native land paradise earth beauty charm ah never end dear native land paradise earth beauty charm ah never end,33,23,0.696969696969697,0.06060606060606061
bi,"Beloved Burundi, gentle country,
Take your place in the concert of nations,
Acceding to independence with honourable intentions.
Wounded and bruised, you have remained master of yourself.
When the hour came, you arose,
Lifting yourself proudly into the ranks of free peoples.
Receive, then, the congratulations of the nations
And the homage of your sons.
May your name ring out through the universe.

Beloved Burundi, sacred heritage from our forefathers,
Recognized as worthy of self-government,
With your courage you also have a sense of honour.
Sing the glory of liberty conquered again.

Beloved Burundi, worthy of our tenderest love,
We vow to your noble service our hands and hearts and lives.
May God, who gave you to us, keep you for us to venerate,
Under the shield of unity,
In peace, joy and prosperity.",beloved burundi gentle country take place concert nation accede independence honourable intention wound bruise remain master hour come arise lift proudly rank free people receive congratulation nation homage son may name ring universe beloved burundi sacred heritage forefather recognize worthy selfgovernment courage also sense honour sing glory liberty conquer belove burundi worthy tender love vow noble service hand heart life may god give we keep we venerate shield unity peace joy prosperity,72,65,0.9027777777777778,0.1527777777777778
de,"Unity and Right and Freedom
For the German Fatherland!
After these let us all strive
Brotherly with heart and hand!
Unity and Right and Freedom
Are the pledge of happiness.
Bloom in the splendour of this happiness,
Bloom, my German Fatherland!
Bloom in the splendour of this happiness,
Bloom, my German Fatherland!",unity right freedom german fatherland let we strive brotherly heart hand unity right freedom pledge happiness bloom splendour happiness bloom german fatherland bloom splendour happiness bloom german fatherland,28,15,0.5357142857142857,0.07142857142857142
ki,"1. Stand up, Kiribati!
Sing with jubilation!
Prepare to accept responsibility
And to help each other!
Be steadfastly righteous!
Love all our people!
Be steadfastly righteous!
Love all our people!

2. The attainment of contentment
And peace by our people
Will be achieved when all
Our hearts beat as one,
Love one another!
Promote happiness and unity!
Love one another!
Promote happiness and unity!

3. We beseech You, O God,
To protect and lead us
In the days to come.
Help us with Your loving hand.
Bless our Government
And all our people!
Bless our Government
And all our people!",1 stand kiribati sing jubilation prepare accept responsibility help steadfastly righteous love people steadfastly righteous love people 2 attainment contentment peace people achieve heart beat one love one another promote happiness unity love one another promote happiness unity 3 beseech god protect lead we day come help we love hand bless government people bless government people,56,36,0.6428571428571429,0.16071428571428573
jo,"Long live the King!
Long live the King!
His position is sublime,
His banners waving in glory supreme.

1. We achieved our goal,
On the day you gave us the mark,
A revolution gives us our motivation!
Flying over the shoulders of the highest comets.

CHORUS:
Oh! You king of Arabs,
From the best prophet you have.
The honour of dynasty,
Talked about in the depths of books!

2. All the youthful men,
Are your armed armies
His ditermination never dies out!
Getting from you the manners you have

Chorus

3. May you stay the light and the guide,
A master in being away of all sins and wrong-doing,
Living your life happily and well-respected!
Under your flying flag rests the glory of all Arabs.

Chorus",long live king long live king position sublime banner wave glory supreme 1 achieve goal day give we mark revolution give we motivation fly shoulder high comet chorus oh king arab good prophet honour dynasty talk depth book 2 youthful man armed army ditermination never die get manner chorus 3 may stay light guide master away sin wrongdoing live life happily wellrespecte fly flag rest glory arab chorus,68,56,0.8235294117647058,0.058823529411764705
dz,"1. We swear by the lightning that destroys,
By the streams of generous blood being shed,
By the bright flags that wave,
Flying proudly on the high djebels,
That we are in revolt, whether to live or to die,
We are determined that Algeria should live,
So be our witness -be our witness -be our witness!

2. We are soldiers in revolt for truth
And we have fought for our independence.
When we spoke, nobody listened to us,
So we have taken the noise of gunpowder as our rhythm
And the sound of machine guns as our melody,
We are determined that Algeria should live,
So be our witness -be our witness -be our witness!

3. O France, the time of reproof is over
And we have ended it as a book is ended;
O France, this is the day of reckoning
So prepare to receive from us our answer!
In our revolution is the end of empty talk;
We are determined that Algeria should live,
So be our witness -be our witness -be our witness!

4. From our heroes we shall make an army come to being,
From our dead we shall build up a glory,
Our spirits shall ascend to immortality
And on our shoulders we shall raise the Standard.
To the nation’s Liberation Front we have sworn an oath,
We are determined that Algeria should live,
So be our witness -be our witness -be our witness!

5. The cry of the Fatherland sounds from the battlefields.
Listen to it and answer the call!
Let it be written with the blood of martyrs
And be read to future generations.
Oh, Glory, we have held out our hand to you,
We are determined that Algeria should live,
So be our witness -be our witness -be our witness!",1 swear lightning destroy stream generous blood shed bright flag wave fly proudly high djebel revolt whether live die determined algeria live witness witness witness 2 soldier revolt truth fight independence speak nobody listen we take noise gunpowder rhythm sound machine gun melody determined algeria live witness witness witness 3 france time reproof end book end france day reckoning prepare receive we answer revolution end empty talk determined algeria live witness witness witness 4 hero shall make army come dead shall build glory spirit shall ascend immortality shoulder shall raise standard nation liberation front swear oath determined algeria live witness witness witness 5 cry fatherland sound battlefield listen answer call let write blood martyr read future generation oh glory hold hand determined algeria live witness witness witness,127,86,0.6771653543307087,-0.007874015748031496
bb,"1. In plenty and in time of need
When this fair land was young
Our brave forefathers sowed the seed
From which our pride is sprung,
A pride that makes no wanton boast
Of what it has withstood
That binds our hearts from coast to coast –
The pride of nationhood.

CHORUS:
We loyal sons and daughters all
Do hereby make it known
These fields and hills beyond recall
Are now our very own.
We write our names on history’s page
With expectations great,
Strict guardians of our heritage,
Firm craftsmen of our fate.

2. The Lord has been the people’s guide
For past three hundred years.
With him still on the people’s side
We have no doubts or fears.
Upward and onward we shall go,
Inspired, exulting, free,
And greater will our nation grow
In strength and unity.

Chorus",1 plenty time need fair land young brave forefather sow seed pride spring pride make wanton boast withstood bind heart coast coast pride nationhood chorus loyal son daughter hereby make know field hill beyond recall write name history page expectation great strict guardian heritage firm craftsman fate 2 lord people guide past three hundred year still people side doubt fear upward onward shall go inspire exult free great nation grow strength unity chorus,73,66,0.9041095890410958,0.0684931506849315
md,"1. A treasure is our tongue that surges
From deep shadows of the past,
Chain of precious stones that scattered
All over our ancient land.

2. A burning flame is our tongue
Amidst a people waking
From a deathly sleep, no warning,
Like the brave man of the stories.

5. Our tongue is the greenest leaf
Of the everlasting forests,
Gentle river Nistru’s ripples
Hiding starlight bright and shining.

9. Our tongue is more than holy,
Words of homilies of old
Wept and sung perpetually
In the homesteads of our folks.

12. A treasure will spring up swiftly
From deep shadows of the past,
Chain of precious stones that scattered
All over our ancient land.",1 treasure tongue surge deep shadow past chain precious stone scatter ancient land 2 burn flame tongue amidst people wake deathly sleep warning like brave man story 5 tongue green leaf everlaste forest gentle river nistrus ripple hide starlight bright shine 9 tongue holy word homily old wept sing perpetually homestead folk 12 treasure spring swiftly deep shadow past chain precious stone scatter ancient land,65,52,0.8,0.046153846153846156
ax,"1. The land of thousand islands and skerries,
Born from deep beneath the waves
Åland, our Åland, our home it is
Thee we long to meet

Ancient graves beneath the birches
Tells of our thousand year history
We will never forget the land of our Fathers
No matter where we will go
No matter where we will go

2. Lovely is our Åland when bays and straits
Become blue in the bright days of spring
It’s delightful to wander in forest and grove
In the flowered fields of our shores.

Midsummer pole to evening red sky
Is raised by willing hands
Farthest out in the skerry fisher village
Beacons are lit by the young
Beacons are lit by the young

3. Lovely is our Åland when the froth of waves
is whirling against the mighty precipice
When the church folks steer beneath the stars
Over the icy depths of the sea

Even when storm roars, in the cottages’ peace
The song of the spinning wheel is sung
The memory of loving childhood is
Happily praised by the sons
Happily praised by the sons

4. Never have Alandian women and men
Let the honour of their tribe down
Warfare threatened us, but victoriously yet
We carry the heritage of freedom

Loudly shall it sound, our Swedish language
Spoken with an urging voice
Enlighten our path like a sea mark of flames
Show us where we belong
Show us where we belong",1 land thousand island skerrie bear deep beneath wave åland åland home thee long meet ancient grave beneath birch tell thousand year history never forget land father matter go matter go 2 lovely åland bay strait become blue bright day spring delightful wander forest grove flower field shore midsummer pole evening red sky raise willing hand farth skerry fisher village beacon light young beacon light young 3 lovely åland froth wave whirl mighty precipice church folk steer beneath star icy depth sea even storm roar cottage peace song spinning wheel sing memory love childhood happily praise son happily praise son 4 never alandian woman man let honour tribe warfare threaten we victoriously yet carry heritage freedom loudly shall sound swedish language speak urge voice enlighten path like sea mark flame show we belong show we belong,136,113,0.8308823529411765,0.0661764705882353
ar,"Hear, mortals, the sacred cry:
“Freedom! Freedom! Freedom!”
Hear the noise of broken chains,
see the noble Equality enthroned.
Their most honorable throne have opened
the United Provinces of the South.
And the free ones of the world reply:
“To the Argentine people, cheers!”
“To the Argentine people, cheers!”
And the free ones of the world reply:
“To the Argentine people, cheers!”
And the free ones of the world reply:
“To the Argentine people, cheers!”

CHORUS:
May the laurels be eternal
the ones we managed to win,
the ones we managed to win.
Let us live crowned in glory…
or let us swear in glory to die!
Or let us swear in glory to die!
Or let us swear in glory to die!",hear mortal sacred cry freedom freedom freedom hear noise broken chain see noble equality enthrone honorable throne open united province south free one world reply argentine people cheer argentine people cheer free one world reply argentine people cheer free one world reply argentine people cheer chorus may laurel eternal one manage win one manage win let we live crown glory let we swear glory die let we swear glory die let we swear glory die,75,38,0.5066666666666667,0.13333333333333333
et,"Respect for citizenship is strong in our Ethiopia;
National pride is seen, shining from one side to another.
For peace, for justice, for the freedom of peoples,
In equality and in love we stand united.
Firm of foundation, we do not dismiss humanness;
We are peoples who live through work.
Wonderful is the stage of tradition, mistress of proud heritage,
Mother of natural virtue, mother of a valorous people.
We shall protect you – we have a duty;
Our Ethiopia, live! And let us be proud of you!",respect citizenship strong ethiopia national pride see shine one side another peace justice freedom people equality love stand united firm foundation dismiss humanness people live work wonderful stage tradition mistress proud heritage mother natural virtue mother valorous people shall protect duty ethiopia live let we proud,46,40,0.8695652173913043,0.1956521739130435
cf,"Oh! Central Africa, cradle of the Bantu!
Take up again your right to respect, to life!
Long subjugated, long scorned by all,
But, from today, breaking tyranny’s hold.
Through work, order and dignity
You reconquer your rights, your unity,
And to take this new step
The voice of our ancestors call us.

CHORUS:
To work! In order and dignity,
in the respect for rights and in unity,
Breaking poverty and tyranny,
Holding high the flag of the Fatherland.",oh central africa cradle bantu take right respect life long subjugate long scorn today break tyranny hold work order dignity reconquer right unity take new step voice ancestor call we chorus work order dignity respect right unity break poverty tyranny hold high flag fatherland,44,32,0.7272727272727273,-0.045454545454545456
ec,"CHORUS:
O homeland, we greet you a thousand times!
Glory be to you, O homeland, glory be to you!
Your breast overflows with joy and peace,
And we see your radiant face shining
More brightly than the sun.

2. The worthy sons of the soil
Which Pichincha on high is adorning,
Always acclaimed you as sovereign lady
And shed their blood for you.
God observed and accepted the sacrifice,
And that blood was the prolific seed
Of other heroes whom the world in astonishment saw
Arising in thousands around you.

Chorus

3. For these steel armed heroes
Nothing in the land was invincible
And from the valley to the high Sierra
Could the clamour of the struggle be heard;
After the struggle, victory came flying.
And freedom followed on victory’s heel.
And the toppled lion could be heard,
As it roared in impotence and vanity.

Chorus",chorus homeland greet thousand time glory homeland glory breast overflow joy peace see radiant face shine brightly sun 2 worthy son soil pichincha high adorn always acclaim sovereign lady shed blood god observe accept sacrifice blood prolific seed hero world astonishment see arise thousand around chorus 3 steel armed hero nothing land invincible valley high sierra could clamour struggle hear struggle victory came fly freedom follow victorys heel topple lion could hear roar impotence vanity chorus,76,64,0.8421052631578947,0.02631578947368421
ma,"Fountain of Freedom
Source of Light
Where sovereignty and safety meet,
Safety and sovereignty may you ever combine!
You have lived among nations
With title sublime,
Filling each heart,
Sung by each tongue,
Your champion has risen
And answered your call.
For your soul and your body,
The victory they have conquered.
In my mouth and in my blood
Your breezes have stirred both light and fire.
Up! my brethren,
Strive for the highest.
We call to the world
That we are here ready.
We salute as our emblem
God, Homeland, and King.",fountain freedom source light sovereignty safety meet safety sovereignty may ever combine live among nation title sublime fill heart sing tongue champion rise answer call soul body victory conquer mouth blood breeze stir light fire brother strive high call world ready salute emblem god homeland king,46,42,0.9130434782608695,0.043478260869565216
au,"1. Australians all let us rejoice,
For we are one and free;
We’ve golden soil and wealth for toil,
Our home is girt by sea;
Our land abounds in Nature’s gifts
Of beauty rich and rare;
In history’s page, let every stage
Advance Australia fair!
In joyful strains then let us sing,
“Advance Australia fair!”

2. Beneath our radiant southern Cross,
We’ll toil with hearts and hands;
To make this Commonwealth of ours
Renowned of all the lands;
For those who’ve come across the seas
We’ve boundless plains to share;
With courage let us all combine
To advance Australia fair.
In joyful strains then let us sing
“Advance Australia fair!”",1 australian let we rejoice one free golden soil wealth toil home gird sea land abound nature gift beauty rich rare history page let every stage advance australia fair joyful strain let we sing advance australia fair 2 beneath radiant southern cross well toil heart hand make commonwealth renowne land come across sea boundless plain share courage let we combine advance australia fair joyful strain let we sing advance australia fair,71,49,0.6901408450704225,0.11267605633802817
gq,"We walk along the path
Of our immense joy.
In brotherhood, without division,
We sing Liberty!
After two centuries of being subdued
Under colonial domination,
In fraternal union, without discrimination,
We sing Liberty!
We cry, long live a free Guinea,
And we defend our liberty
We always sing, free Guinea,
And we always preserve our unity.
We cry, long live a free Guinea,
And we defend our liberty
We always sing, free Guinea,
And we preserve and we preserve our national independence
And we preserve and we preserve our national independence.",walk along path immense joy brotherhood without division sing liberty two century subdue colonial domination fraternal union without discrimination sing liberty cry long live free guinea defend liberty always sing free guinea always preserve unity cry long live free guinea defend liberty always sing free guinea preserve preserve national independence preserve preserve national independence,54,29,0.5370370370370371,0.12962962962962962
jp,"May thy peaceful reign last long!
May it last for thousands of years,
Until this tiny stone
Will grow into a massive rock
And the moss will cover it all deep and thick.",may thy peaceful reign last long may last thousand year tiny stone grow massive rock moss cover deep thick,19,17,0.8947368421052632,0.0
gr,"I shall always recognise you
By the dreadful sword you hold,
As the earth, with searching vision,
You survey, with spirit bold.

‘Twas the Greeks of old whose dying
Brought to birth our spirit free.
Now, with ancient valour rising,
Let us hail you, oh Liberty!
Now, with ancient valour rising,
Let us hail you, oh Liberty!
Now, with ancient valour rising,
Let us hail you, oh Liberty!",shall always recognise dreadful sword hold earth search vision survey spirit bold twa greek old whose die bring birth spirit free ancient valour rise let we hail oh liberty ancient valour rise let we hail oh liberty ancient valour rise let we hail oh liberty,45,28,0.6222222222222222,0.08888888888888889
af,"1. This land is Afghanistan
It is pride of every Afghan
The land of peace, the land of sword
Its sons are all braves

2. This is the country of every tribe
Land of Baloochs, and Uzbeks
Pashtoons, and Hazaras
Turkman and Tajiks

3. With them, Arabs and Gojars
Pamirian, Nooristanian
Barahawi, and Qizilbash
Also Aimaq, and Pashaye

4. This Land will shine for ever
Like the sun in the blue sky
In the chest of Asia
It will remain as heart for ever

5. We will follow the one God
We all say, Allah is great,
we all say, Allah is great,
we all say, Allah is great",1 land afghanistan pride every afghan land peace land sword son brave 2 country every tribe land balooch uzbek pashtoon hazara turkman tajik 3 arab gojar pamirian nooristanian barahawi qizilbash also aimaq pashaye 4 land shine ever like sun blue sky chest asia remain heart ever 5 follow one god say allah great say allah great say allah great,59,47,0.7966101694915254,0.0847457627118644
kz,"1. Sky of golden sun,
Steppe of golden seed,
Legend of courage –
Take a look at my country!

From antiquity
Our heroic glory emerged,
They did not give up their pride
My Kazakh people are strong!

CHORUS:
My country, my country,
As your flower I will be planted,
As your song I will stream, my country!
My native land – My Kazakhstan!

2. The way was opened to posterity
I have a vast land.
Its unity is proper,
I have an independent country.

It welcomed the time
Like an eternal friend,
Our country is happy,
Such is our country.

Chorus",1 sky golden sun steppe golden seed legend courage take look country antiquity heroic glory emerge give pride kazakh people strong chorus country country flower plant song stream country native land kazakhstan 2 way open posterity vast land unity proper independent country welcome time like eternal friend country happy country chorus,51,42,0.8235294117647058,0.11764705882352941
bl,"1. Isle forgotten by the gods, unknown by the men,
You were sleeping, languid, waiting for a given name,
When the drum of the feet trampling your blond coves,
Tore you out of your dream and opened you to the world.

CHORUS:
Ouanalao or Saint Barthélemy
Isle of the Antilles and isle of France
Don’t give up your faith, don’t give up your hope
Your freedom remains our motto

2. Arawaks, Caraibes, Bretons and pirates
English, Flemish, French, Spanish and settlers
Canoes, caravelles, galiotes and galions.
Have written your history at the bottom of your bays.

Chorus

3. Your children, seamen they were, went from isle to isle
To catch elsewhere the fortune you didn’t give to them
But from the kings’ words, Swedish and then French
They received as inheritance honor and dignity.

Chorus

4. Land of hope, of fire, of pain and of spirit
Defying the ocean, the winds, the hurricanes
Without complaint your daughters and sons they rebuild
As their parents have always done before them.

Chorus

5. To your barren hills give your beautiful beaches
To your years of drought, your hours of plenty
To your exiled sons their strength and their power
To your moments of doubts the word of the wise men.

Chorus",1 isle forget god unknown man sleep languid wait give name drum foot trample blond cove tear dream open world chorus ouanalao saint barthélemy isle antilles isle france not give faith not give hope freedom remain motto 2 arawak caraibe breton pirate english flemish french spanish settler canoes caravelle galiote galion write history bottom bay chorus 3 child seaman go isle isle catch elsewhere fortune not give king word swedish french receive inheritance honor dignity chorus 4 land hope fire pain spirit defy ocean wind hurricane without complaint daughter son rebuild parent always do chorus 5 barren hill give beautiful beach year drought hour plenty exile son strength power moment doubt word wise man chorus,115,96,0.8347826086956521,0.043478260869565216
